"","predNumber","Month.2","Month.3","Month.4","Month.5","Month.6","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","Month.13"
"72",353,0.019607843137255,0.0476190476190477,0.0476190476190477,0.019607843137255,0.0364145658263305,0.0924369747899159,0.120448179271709,0.148459383753501,0.148459383753501,0.120448179271709,0.0924369747899159,0.0924369747899159
"73",452,0.0171428571428571,0.04,0.0628571428571429,0.0285714285714286,0.0171428571428571,0.00571428571428571,0.0285714285714286,0.0742857142857143,0.0742857142857143,0.0514285714285714,0.0514285714285714,0.0285714285714286
"74",157,0.254264059548451,0.278692248514315,0.175948510648911,0.194874462448657,0.25265540335014,0.220175849635935,0.194005620225785,0.222819887894337,0.228775680080674,0.207741495837502,0.210474487489407,0.222144024832858
"75",256,0.193087101372819,0.192901142148363,0.192715182923907,0.192529223699451,0.192343264474995,0.192157305250539,0.191971346026083,0.191785386801626,0.19159942757717,0.191413468352714,0.191227509128258,0.191041549903802
"76",355,0.0177557832433614,0.026150767102199,0.0277770831660952,0.0237710965503641,0.015598466161566,0.00558934908444816,0.00411902029424083,0.0117143940492212,0.0161375595874004,0.0170914973766498,0.0150103009738207,0.0108345356363669
"77",454,0.00363770082079311,0.00387620805093028,0.00411471528106745,0.00435322251120462,0.00459172974134406,0.00483023697148107,0.00506874420161824,0.00530725143175541,0.00554575866189258,0.00578426589203202,0.00602277312216919,0.00626128035230636
"78",356,0.0140056022408964,0.0182072829131654,0.0263305322128853,0.0478991596638656,0.0481792717086836,0.0322128851540616,0.06078431372549,0.0210084033613445,0.00224089635854337,0.0582633053221288,0.0434173669467786,0.0240896358543417
"79",455,0.0180571428571428,0.0393142857142857,0.0160000000000001,0.0297142857142856,0.00434285714285709,0.0112,0.0486857142857143,0.00617142857142864,0.0459428571428571,0.00548571428571433,0.00777142857142865,0.0434285714285714
"80",161,0.173777007291951,0.170653290873395,0.167529574454839,0.164405858036283,0.161282141617727,0.158158425199172,0.155034708780616,0.15191099236206,0.148787275943504,0.145663559524948,0.142539843106392,0.139416126687836
"81",260,0.163842477489651,0.162198116580093,0.160553755670535,0.158909394760976,0.157265033851418,0.15562067294186,0.153976312032302,0.152331951122743,0.150687590213185,0.149043229303627,0.147398868394069,0.145754507484511
"82",557,0.0179141104294478,0.0187975460122699,0.019680981595092,0.0205644171779141,0.0214478527607363,0.0223312883435582,0.0232147239263803,0.0240981595092024,0.0249815950920246,0.0258650306748467,0.0267484662576688,0.0276319018404907
"83",953,0.307918437171421,0.351036627407842,0.394154817644262,0.437273007880683,0.480391198117103,0.523509388353524,0.566627578589944,0.609745768826365,0.652863959062785,0.695982149299206,0.739100339535626,0.782218529772047
"84",63,0.0000653946396700746,0.00501863107489153,0.00718567201530095,0.00532820835209283,0.00331595605028414,0.00207764694147877,0.0000653946396700746,0.0000653946396700746,0.0000653946396700746,0.0000653946396700746,0.0000653946396700746,0.0000653946396700746
"85",162,0.220632753570291,0.176119794605868,0.220632753570291,0.274516861790381,0.220632753570291,0.220632753570291,0.245622484918738,0.220632753570291,0.222194611779569,0.215947178942457,0.220632753570291,0.240936910290904
"86",261,0.200018417499931,0.186863530223466,0.200018417499931,0.186863530223466,0.186863530223466,0.200018417499931,0.186863530223466,0.186863530223466,0.200018417499931,0.200018417499931,0.186863530223466,0.200018417499931
"87",360,0.00159663865546225,0.00647058823529416,0.0149579831932775,0.0123529411764707,0.00893557422969195,0.000308123249299798,0.0016526610644257,0.00039215686274498,0.00039215686274498,0.00333333333333333,0.00039215686274498,0.00039215686274498
"88",459,0.00269714285714291,0.00269714285714291,0.00269714285714291,0.00269714285714291,0.00477714285714293,0.00745142857142858,0.00763428571428579,0.00779428571428574,0.00269714285714291,0.00269714285714291,0.00269714285714291,0.00269714285714291
"89",657,0.0613913452748849,0.0613913452748849,0.0613913452748849,0.0613913452748849,0.0589597166357006,0.0589597166357006,0.0613913452748849,0.0613913452748849,0.0613913452748849,0.0589597166357006,0.0589597166357006,0.0613913452748849
"90",756,1.25127017702662,1.3098998849995,1.3098998849995,1.3098998849995,1.3098998849995,1.25127017702662,1.3098998849995,1.25127017702662,1.3098998849995,1.25127017702662,1.25127017702662,1.3098998849995
"91",855,0.00724820262521219,0.00724820262521219,0.00724820262521219,0.00724820262521219,0.00724820262521219,0.00724820262521219,0.00724820262521219,0.00724820262521219,0.00724820262521219,0.00724820262521219,0.00724820262521219,0.00724820262521219
"92",954,0.00609110551647808,0.00609110551647808,0.00609110551647808,0.00609110551647808,0.00609110551647808,0.00609110551647808,0.00609110551647808,0.00609110551647808,0.00609110551647808,0.00609110551647808,0.00609110551647808,0.00609110551647808
"93",1053,0.0360689205167878,0.0360689205167878,0.0360689205167878,0.0387390897120322,0.0387390897120322,0.0387390897120322,0.0387390897120322,0.0440794281025209,0.0440794281025209,0.0387390897120322,0.0387390897120322,0.0387390897120322
"94",1152,0.00538730638503744,0.00665110904528517,0.00917871436578063,0.0192891356477625,0.0104425170260284,0.0218167409682579,0.0256081489490011,0.0268719516092488,0.0281357542694966,0.030663359589992,0.0104425170260284,0.0319271622502398
"95",64,0.0248315768157773,0.0248315768157773,0.0248315768157773,0.0248315768157773,0.00935271295571023,0.00935271295571023,0.00935271295571023,0.00935271295571023,0.00935271295571023,0.00935271295571023,0.00935271295571023,0.00935271295571023
"96",661,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0127587724912001,0.0127587724912001,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349,0.0607056259986349
"97",760,1.3111394845395,1.3111394845395,1.3111394845395,1.3111394845395,1.3111394845395,0.832486548648917,0.832486548648917,1.3111394845395,1.3111394845395,1.3111394845395,1.3111394845395,1.3111394845395
"98",859,0.00865272788822766,0.00865272788822766,0.00865272788822766,0.00865272788822766,0.00865272788822766,0.00865272788822766,0.00865272788822766,0.00865272788822766,0.00865272788822766,0.00865272788822766,0.00865272788822766,0.00865272788822766
"99",958,0.0000000574909202849666,0.0000000574909202849666,0.498756370784471,0.498756370784471,0.498756370784471,0.498756370784471,0.498756370784471,0.498756370784471,0.498756370784471,0.498756370784471,0.498756370784471,0.498756370784471
"100",69,0.00553873482230154,0.00536693362307336,0.00472659074569831,0.00464749562805407,0.0042636930484306,0.00388425031795323,0.00371526394751908,0.0035920739264417,0.0046227903738067,0.00579366595103717,0.00134076550352515,0.00414147066200912
"101",665,0.0550581684841295,0.0547894735194997,0.0545205353920059,0.0542515972645121,0.0539826591370183,0.0537137210095246,0.0534447828820308,0.053175844754537,0.0529069066270433,0.0526379684995495,0.0523690303720557,0.0521003354074258
"102",764,1.85243993853362,1.87656941363349,1.90069888873335,1.92482836383322,1.94895783893309,1.97308731403295,1.99721678913282,2.02134626423269,2.04547573933255,2.06960521443242,2.09373468953229,2.11786416463215
"103",863,0.0213855501548088,0.0221769419178104,0.0229683336808121,0.0237597254438136,0.0245511172068152,0.0253428211559167,0.0261342129189182,0.0269256046819198,0.0277169964449215,0.0285087003940228,0.0293000921570244,0.0300914839200261
"104",962,0.46279466468162,0.504201062765655,0.545607460849689,0.587013858933724,0.628420257017759,0.669826655101793,0.711233053185828,0.752639451269862,0.794045849353897,0.835452247437932,0.876858645521966,0.918265043606
"105",1061,0.0451453596452624,0.0460999451325623,0.0470542636029427,0.0480088490902424,0.0489634345775423,0.0499180200648422,0.0508723385352225,0.0518269240225224,0.0527815095098223,0.0537358279802025,0.0546904134675024,0.0556449989548023
"106",1160,0.0112642415157215,0.0145498756718334,0.0178355098279455,0.0211211439840576,0.0244069045204357,0.0276925386765477,0.0309781728326597,0.0342638069887718,0.0375494411448838,0.0408352016812619,0.044120835837374,0.0474064699934861
