"","team_name","domain","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","mean_abs_error_w2","MASE1_w2","Method.code","phase","revised"
"69","LongerSquigglyLines","easian",-0.103182,0.004246,-0.08988,-0.02212,0.026554,-0.144069,0.121743375,2.05789270629922,"Data-Driven",1,1
"70","Hi5","easian",-0.15,-0.1,-0.05,0,0,0,0.126485208333333,2.13804642498127,"Intuition/Theory",2,0
"71","BRTWN","easian",-0.03515077,-0.02234319,0.01528974,-0.01182073,-0.10821524,-0.09457778,0.133682213333333,2.25970120986545,"Data-Driven",2,1
"72","Average Joes","easian",-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0.136485208333333,2.30708171797354,"Data-Driven",1,1
"73","BRTWN","easian",-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0.136485208333333,2.30708171797354,"Data-Driven",1,1
"74","Bluebirds","easian",-0.0395179,-0.0390649,-0.0390971,-0.0390948,-0.039095,-0.039095,0.137324425,2.32126744148694,"Data-Driven",1,1
"75","TheMets","easian",-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,0.137485208333333,2.32398524727276,"Data-Driven",1,1
"76","AbCdEfG","easian",-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,0.139835208333333,2.36370854112595,"Data-Driven",1,0
"77","Bordeaux","easian",-0.037,-0.03,-0.037,-0.03,-0.03,-0.037,0.142985208333333,2.41695465841851,"Data-Driven",1,1
"78","MLTS","easian",-0.0319263846505489,-0.0318101447044625,-0.0316939047583761,-0.0315776648122897,-0.0314614248662034,-0.031345184920117,0.144849423548,2.4484664749197,"Data-Driven",1,1
"79","Heisenburg","easian",-0.00691947487060939,-0.0653908847928639,-0.00985283048781915,-0.0510512688101425,-0.0148819734194378,-0.02275848111224,0.148009389417815,2.50188105058466,"Data-Driven",1,0
"80","Cynical Belief in the Inexorable Crush of the Wheel","easian",0.02,-0.037148,-0.037148,-0.037148,-0.037148,-0.037148,0.148861875,2.5162910656003,"Hybrid",1,1
"81","WQXZ","easian",-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,0.156726208333333,2.64922605451918,"Data-Driven",1,1
"82","The Well-Adjusted R Squares","easian",-0.01880562,-0.01817793,-0.01755023,-0.01692254,-0.01629484,-0.01566715,0.159248823333333,2.69186715108235,"Data-Driven",2,0
"83","BlackSwan","easian",0.01,-0.05,0.02,-0.05,0.02,-0.02,0.164818541666667,2.78601504811829,"Intuition/Theory",1,1
"84","Team29","easian",0,0,0,0,0,0,0.176485208333333,2.9832228899426,"Intuition/Theory",1,1
"85","fearfulastra","easian",0.005,0.005,0.006,0.007,0.007,0.008,0.182818541666667,3.09027857550437,"Data-Driven",1,1
"86","A Woman Scientist","easian",0,0.05,0.01,0.07,0.03,0.1,0.219818541666667,3.71570915957575,"Intuition/Theory",1,0
"87","Tosbik","easian",0.1,0.09,0.06,0.03,0.01,0.01,0.226485208333333,3.82839935490393,"Intuition/Theory",1,0
"88","Erebuni","easian",0.03,0.04,0.05,0.06,0.07,0.07,0.229818541666667,3.88474445256801,"Intuition/Theory",1,0
